LOAN_ID,DATE,CUSTOMER_AGE,TOTAL_PAID,TOTAL_DUE_TODAY,BALANCE,DAYS_PAST_DUE,CLOSING_BALANCE,ADVANCE,BALANCE_DUE_TO_DATE,ARREARS,BALANCE_DUE_STATUS,PAYMENT,EXPECTED_PAYMENT,FIRST_PAYMENT,FIRST_EXPECTED_PAYMENT,ACCOUNT_STATUS_L1,ACCOUNT_STATUS_L2,RETURN_DATE,SALE_DATE,CREDIT_CHECK_DONE,PAYMENT_AMOUNT,ADJUSTMENT_AMOUNT,PREPAYMENT_AMOUNT,DEPOSIT,WEEKLY_RATE,CREDIT_EXPIRY,NEXT_INVOICE_DATE,,DISCOUNT,OVERPAYMENT_AMOUNT,MAX_PAYMENT_DATE,INITIAL_PAY,TOTAL_PAID_WITH_ADJUSTMENTS_15D
recjFIcR3QmQqG3Sk,12/30/2025,27,11679,10509,54990,0,54990,1170,1170,0,advance,0,0,0,0,New Active,Active,,12/3/2025,Y LOAN,,,0,5829,1170,1/7/2026,12/31/2025,,0,0,12/27/2025,6999,11679
recuVGNe6kUSdxipF,12/30/2025,225,21200,53219,50289,120,50289,0,-24449,24449,Arrears,0,0,0,0,Cancelled Returned past 3 mths,Return,00:00.0,5/19/2025,Y LOAN,,,0,8339,1360,9/1/2025,1/5/2026,,0,0,8/27/2025,9699,28770
recRIrcaBdNd7cEkj,12/30/2025,601,75059,75059,0,0,0,0,0,0,up to date,0,0,0,0,Paid Off Loan,Paid Off,,5/8/2024,Y LOAN,,,0,8499,1280,5/7/2025,12/31/2025,,0,0,4/4/2025,9779,75059
recC9jIxztZUgyweE,12/30/2025,570,80159,80259,0,0,0,0,-100,100,Arrears,0,0,0,0,Paid Off Loan,Paid Off,,6/8/2024,Y LOAN,,,0,8499,1380,5/31/2025,1/3/2026,,100,0,5/31/2025,9879,80159
recaqk3hZVltSOJHK,12/30/2025,114,26079,26079,39550,0,39550,0,0,0,up to date,0,0,0,0,Existing Active,Active,,9/7/2025,Y LOAN,,,0,6869,1130,1/4/2026,1/4/2026,,0,0,12/29/2025,7999,26079
rec5Aapv2DqUggyMC,12/30/2025,407,75334,135359,46660,197,46660,0,-46660,46660,Arrears,0,0,0,0,Write Off,PAR 30,,11/18/2024,Y LOAN,,,0,24599,2130,6/16/2025,1/5/2026,,0,0,6/17/2025,26729,88699
recImad2jbVv2KZNV,12/30/2025,761,57349,57399,0,0,0,0,-50,50,Arrears,0,0,0,0,Paid Off Loan,Paid Off,,11/30/2023,Y LOAN,,,0,7999,950,11/21/2024,1/1/2026,,50,0,11/2/2024,8949,57349
recrHLqOYLXynfIJP,12/30/2025,74,61359,61299,44340,0,44340,60,60,0,advance,0,0,0,0,Existing Active,Active,,10/17/2025,Y LOAN,,,0,28739,2960,1/2/2026,1/2/2026,,0,0,12/28/2025,31699,61359
rec4COfhxmHvFzPRI,12/30/2025,545,154469,157139,0,0,0,0,-2670,2670,Arrears,0,0,0,0,Paid Off Loan,Paid Off,,7/3/2024,Y LOAN,,,0,23499,2570,6/18/2025,12/31/2025,,2670,0,6/24/2025,26069,154469
rec2KOMRdtHnfV71K,12/30/2025,178,50989,50989,31020,0,31020,0,0,0,up to date,0,0,0,0,Existing Active,Active,,7/5/2025,Y LOAN,,,0,8689,1410,1/3/2026,1/3/2026,,0,0,12/28/2025,15739,50989
